Loaded 181 target HCPs
[done 1/181] 040f355f-cd2e-428d-a6ca-5c4c2f92002b: 1 papers, 5 positions, depth=signal_moment, synthesis written
[done 36/181] 2cc6cca2-203b-4d30-b8bc-2bb3eb584b8c: 10 papers, 50 positions, depth=deep, synthesis written
[done 37/181] 2cc1c9d8-7bf7-4d4f-9e1f-d6c163bb83bb: 10 papers, 49 positions, depth=deep, synthesis written
[done 38/181] 320d31be-3ee2-4516-84f7-ca4c99f4af04: 4 papers, 20 positions, depth=focused, synthesis written
[done 39/181] 32bb0198-39de-4fc9-b65e-04ee215eacf1: 4 papers, 19 positions, depth=focused, synthesis written
[done 40/181] 2f8867d5-ec7a-48f7-aaaf-0c1f283a89b8: 9 papers, 45 positions, depth=deep, synthesis written
[done 41/181] 33d66651-0fd9-49b4-aeda-95ecb8ab029c: 8 papers, 39 positions, depth=deep, synthesis written
[done 42/181] 346d8ada-3666-42ef-a78e-a3f5f2d0a14c: 10 papers, 50 positions, depth=deep, synthesis written
[done 43/181] 3003ac1c-3dad-47cf-a9bb-691213213431: 10 papers, 50 positions, depth=deep, synthesis written
[done 44/181] 39ebbec8-6527-4f3c-bddf-50c01bd5571b: 3 papers, 15 positions, depth=focused, synthesis written
[done 45/181] 35753596-6fa1-4b6c-8c00-1e66c620bb2d: 7 papers, 35 positions, depth=deep, synthesis written
[done 46/181] 37f62bfc-855e-479f-89cb-12c188682fa7: 8 papers, 39 positions, depth=deep, synthesis written
[done 47/181] 38e48a80-4702-4144-886e-a685182fdb8f: 10 papers, 49 positions, depth=deep, synthesis written
[done 48/181] 3b30c8f6-05d7-412e-85d7-fbfc248e0c46: 5 papers, 25 positions, depth=deep, synthesis written
[done 49/181] 44f7f78e-8a98-4a34-8592-47de277155d0: 4 papers, 20 positions, depth=focused, synthesis written
[done 50/181] 3b7261da-9389-4b9d-bf8f-9361fa71683a: 9 papers, 45 positions, depth=deep, synthesis written
[done 51/181] 3cf3e25f-e46c-4fd0-a93b-c01337a7b8ea: 10 papers, 50 positions, depth=deep, synthesis written
[done 52/181] 4f968065-cbff-4955-8362-3a414a0f8d84: 2 papers, 10 positions, depth=signal_moment, synthesis written
[done 53/181] 44a9472a-5aa4-4b7e-bfbf-b5dd0755836e: 6 papers, 30 positions, depth=deep, synthesis written
[done 54/181] 41b28cc9-b187-46a9-8fbd-c51e317cab4b: 10 papers, 50 positions, depth=deep, synthesis written
[done 55/181] 4e07b5da-c2f0-4d10-b698-473f114b3461: 4 papers, 20 positions, depth=focused, synthesis written
[done 56/181] 46b01423-fee6-4feb-8d0e-d9799141e309: 10 papers, 50 positions, depth=deep, synthesis written
[done 57/181] 500ef208-761b-4036-9851-a51869970792: 3 papers, 15 positions, depth=focused, synthesis written
[done 58/181] 5336038e-1a16-4f9e-87dc-dec803c5679c: 6 papers, 30 positions, depth=deep, synthesis written
[done 59/181] 5d7796a5-7d36-4b7d-894f-1ca64a82a7fa: 6 papers, 28 positions, depth=deep, synthesis written
[done 60/181] 4fecdce0-bd3b-4d1b-b74f-9033da28d449: 10 papers, 50 positions, depth=deep, synthesis written
[done 61/181] 56a4043a-b19f-4dd2-83e8-39ea7440f310: 8 papers, 40 positions, depth=deep, synthesis written
[done 62/181] 51760cb9-3694-4e5c-a7e5-937c477c495f: 10 papers, 49 positions, depth=deep, synthesis written
[done 63/181] 544c6bab-ce69-4250-9807-e2582693a278: 10 papers, 50 positions, depth=deep, synthesis written
[done 64/181] 5f36754d-c175-4f9e-94e4-00a1fab76f04: 5 papers, 25 positions, depth=deep, synthesis written
[done 65/181] 659e0892-0795-4976-9938-8e43e4ea473b: 2 papers, 10 positions, depth=signal_moment, synthesis written
[done 66/181] 65e1acce-e5af-4607-bcd3-627a32141089: 2 papers, 9 positions, depth=signal_moment, synthesis written
[done 67/181] 6648e326-c5e9-4fe3-a778-29decba1b669: 2 papers, 10 positions, depth=signal_moment, synthesis written
[done 68/181] 60528a0e-c537-44db-adc1-6fd22ac5c1f3: 10 papers, 49 positions, depth=deep, synthesis written
[done 69/181] 6c2196cf-30d3-46df-971b-822a428a46e2: 3 papers, 15 positions, depth=focused, synthesis written
[done 70/181] 6d3206ad-f8b8-4bb3-91b0-ca74aa0fb332: 4 papers, 20 positions, depth=focused, synthesis written
[done 71/181] 6c46ed04-68f7-4f45-8641-8667513c1abb: 5 papers, 24 positions, depth=deep, synthesis written
[done 72/181] 6ab3cce4-2b64-49b4-8fa8-eddd74e825c7: 10 papers, 49 positions, depth=deep, synthesis written
[done 73/181] 6da36c76-413a-4969-9896-53d8b70702f9: 3 papers, 14 positions, depth=focused, synthesis written
[done 74/181] 6687337a-3c41-4115-a2d9-7ede88553c1c: 10 papers, 50 positions, depth=deep, synthesis written
